Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ECHO,"Echo Global Logistics, Inc.",19.75,$539.07M,2009,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/echo
SATS,EchoStar Corporation,44.46,$4.35B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/sats
MOHO,ECMOHO Limited,7.53,$258.88M,2019,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/moho
EEI,"Ecology and Environment, Inc.",15.14,$65.56M,1987,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/eei
EDAP,EDAP TMS S.A.,4.39,$127.3M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/edap
EDSA,"Edesa Biotech, Inc.",4.11,$30.84M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/edsa
EDNT,"Edison Nation, Inc.",1.95,$11.8M,2018,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/ednt
EDIT,"Editas Medicine, Inc.",32.24,$1.65B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/edit
EDTX,EdtechX Holdings Acquisition Corp.,10.25,$81.04M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/edtx
EDTXU,EdtechX Holdings Acquisition Corp.,10.53,$83.25M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/edtxu
EDTXW,EdtechX Holdings Acquisition Corp.,0.3761,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/edtxw
EDUC,Educational Development Corporation,6.17,$52.24M,n/a,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/educ
EGAN,eGain Corporation,8.21,$250.72M,1999,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/egan
EH,EHang Holdings Limited,10.18,$539.93M,2019,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/eh
EHTH,"eHealth, Inc.",94.9,$2.19B,2006,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ehth
EIDX,"Eidos Therapeutics, Inc.",60.07,$2.25B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eidx
EIGR,"Eiger BioPharmaceuticals, Inc.",14.08,$344.89M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/eigr
EKSO,"Ekso Bionics Holdings, Inc.",0.37,$27.73M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ekso
LOCO,"El Pollo Loco Holdings, Inc.",15.21,$530.57M,2014,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/loco
ESLT,Elbit Systems Ltd.,161.34,$7.13B,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/eslt
ERI,"Eldorado Resorts, Inc.",59.09,$4.6B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/eri
SOLO,Electrameccanica Vehicles Corp. Ltd.,2.18,$80.77M,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/solo
SOLOW,Electrameccanica Vehicles Corp. Ltd.,0.38,n/a,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/solow
ECOR,"electroCore, Inc.",1.36,$40.14M,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ecor
EA,Electronic Arts Inc.,107.79,$31.47B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ea
ELSE,"Electro-Sensors, Inc.",3.4914,$11.86M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/else
ESBK,Elmira Savings Bank NY (The),15.95,$55.55M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/esbk
ELOX,"Eloxx Pharmaceuticals, Inc.",6.99,$279.62M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/elox
ELTK,Eltek Ltd.,3.76,$16.47M,1997,Technology,Electrical Products,https://old.nasdaq.com/symbol/eltk
EMCF,Emclaire Financial Corp,33.54,$90.51M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/emcf
EMKR,EMCORE Corporation,2.98,$86.14M,1997,Technology,Semiconductors,https://old.nasdaq.com/symbol/emkr
EMMS,Emmis Communications Corporation,3.96,$52.17M,1994,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/emms
ENTA,"Enanta Pharmaceuticals, Inc.",64.55,$1.27B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enta
ECPG,Encore Capital Group Inc,36.28,$1.13B,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/ecpg
WIRE,Encore Wire Corporation,56.58,$1.19B,1992,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/wire
ENDP,Endo International plc,4.84,$1.08B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/endp
ELGX,"Endologix, Inc.",1.75,$31.4M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/elgx
NDRA,ENDRA Life Sciences Inc.,1.1886,$9.89M,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ndra
NDRAW,ENDRA Life Sciences Inc.,0.3131,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ndraw
EIGI,"Endurance International Group Holdings, Inc.",4.58,$670.53M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/eigi
WATT,Energous Corporation,1.81,$57.02M,2014,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/watt
EFOI,"Energy Focus, Inc.",0.49,$6.06M,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/efoi
EHR,"Energy Hunter Resources, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ehr
ERII,"Energy Recovery, Inc.",9.6,$529.11M,2008,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/erii
ENG,ENGlobal Corporation,1.02,$27.96M,n/a,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/eng
ENLV,Enlivex Therapeutics Ltd.,10.1782,$105.18M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enlv
ENOB,"Enochian Biosciences, Inc.",4.85,$224.43M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enob
ENPH,"Enphase Energy, Inc.",26.81,$3.28B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/enph
ESGR,Enstar Group Limited,207.74,$4.47B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgr
ESGRO,Enstar Group Limited,27.11,"$119,284 ",n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgro
ESGRP,Enstar Group Limited,27.53,"$440,480 ",n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgrp
ETTX,Entasis Therapeutics Holdings Inc.,4.95,$65.79M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ettx
ENFC,Entegra Financial Corp.,30.13,$208.73M,2014,Finance,Banks,https://old.nasdaq.com/symbol/enfc
ENTG,"Entegris, Inc.",51.21,$6.91B,2000,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/entg
ENTX,Entera Bio Ltd.,1.95,$23.7M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/entx
ENTXW,Entera Bio Ltd.,0.14,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/entxw
EBTC,Enterprise Bancorp Inc,33.61,$397.15M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ebtc
EFSC,Enterprise Financial Services Corporation,47.91,$1.27B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/efsc
